epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
129,1217.22,0.00704,0.982,0.998,0.08159,0.0001552,0.0001552,0.0001552
130,1226.15,0.01501,0.984,1,0.06848,0.0001486,0.0001486,0.0001486
131,1235.25,0.00809,0.986,0.998,0.06112,0.000142,0.000142,0.000142
132,1246.27,0.00579,0.99,0.998,0.05616,0.0001354,0.0001354,0.0001354
133,1256.86,0.00795,0.99,0.998,0.06697,0.0001288,0.0001288,0.0001288
134,1267.06,0.00987,0.988,0.998,0.06725,0.0001222,0.0001222,0.0001222
135,1275.8,0.00684,0.986,0.998,0.06709,0.0001156,0.0001156,0.0001156
136,1287.02,0.01079,0.986,0.998,0.06662,0.000109,0.000109,0.000109
137,1295.6,0.0107,0.984,1,0.07419,0.0001024,0.0001024,0.0001024
138,1303.37,0.00598,0.988,1,0.05116,9.58e-05,9.58e-05,9.58e-05
139,1313.52,0.0074,0.99,1,0.0459,8.92e-05,8.92e-05,8.92e-05
140,1322.06,0.00492,0.992,1,0.04688,8.26e-05,8.26e-05,8.26e-05
141,1339.31,0.00586,0.992,1,0.04827,7.6e-05,7.6e-05,7.6e-05
142,1349.68,0.01191,0.994,1,0.04479,6.94e-05,6.94e-05,6.94e-05
143,1359.58,0.00466,0.992,1,0.05183,6.28e-05,6.28e-05,6.28e-05
144,1373.4,0.00822,0.994,1,0.054,5.62e-05,5.62e-05,5.62e-05
145,1382.89,0.00957,0.992,1,0.05308,4.96e-05,4.96e-05,4.96e-05
146,1391.05,0.0056,0.99,1,0.0522,4.3e-05,4.3e-05,4.3e-05
147,1400.09,0.00894,0.988,1,0.05231,3.64e-05,3.64e-05,3.64e-05
148,1412.32,0.0114,0.99,1,0.05181,2.98e-05,2.98e-05,2.98e-05
149,1419.33,0.0098,0.99,1,0.05241,2.32e-05,2.32e-05,2.32e-05
150,1428.9,0.00531,0.988,1,0.05473,1.66e-05,1.66e-05,1.66e-05
